finalRank,address,name,type,lat,lng,time_open,time_close,try_beer,desc
,"300 Tingey St SE, Washington, DC 20003-4600",Bluejacket,Brewpub,38.8752103,-77.0012686,11,24,,
,"509 7th St NW, Washington, DC 20004-1600",District Chophouse & Brewery,Brewpub,38.8965164,-77.02156339999999,11,23,,
,"920 Girard St NE, Washington, DC 20017",Right Proper Brewing Company,Micro Brewery,38.926805,-76.99307,13,22,,
,"1200 Bladensburg Rd NE, Washington, DC 20002",Bardo,Micro Brewery,38.9056547,-76.98029439999999,12,24,,
,"1601 Rhode Island Ave NE, Washington, DC 20018",The Public Option,Brewpub,38.9260968,-76.9816661,12,22,,
,"2052 W Virginia Ave NE Ste 102, Washington, DC 20002-1832",Atlas Brew Works,Micro Brewery,38.9148406,-76.9814067,11,23,,
,"3178-B Bladensburg Rd NE, Washington, DC 20018-2204",DC Brau Brewing,Micro Brewery,38.9296431,-76.9601673,12,21,,
,"5788 2nd St NE, Washington, DC 20011",Hellbender Brewing Company,Micro Brewery,38.9600338,-77.00517459999999,12,19,,
,"6400 Chillum Pl NW Ste B, Washington, DC 20012-2111",3 Stars Brewing Co,Micro Brewery,38.967491,-77.012626,13,17,,
1.0,"Capitol City Brewing Company, 1100 New York Avenue NW Washington, DC 20005",Capitol City Brewing Company,Brewpub,38.9002974,-77.0276171,11,24,,
11.0,"1115 East-West Hwy, Silver Spring, MD 20910",Denizens,Brewery,38.9886346,-77.0273292,12,24,,
